Timestamp,"Describe your ideal match: be it physical traits or personality, put it all down there. You can add in hobbies, drinking/smoking preferences, what you're looking for in this particular individual and anything else that comes to mind!",Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?
11/16/2024 23:49:07,Hi this is a fake result,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :)
11/17/2024 0:43:26,"Tall, smart, curious minded, sportive, disciplined. No smoking. ",Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(
11/17/2024 11:48:31,bare minimum,Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/17/2024 12:06:08,"Someone mature, kind and smart. Has high EQ and is hardworking, understanding and supportive. ",Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :)
11/17/2024 12:28:42,"Someone with whom I can have long conversations, who intellectually stimulates me, who is receptive to engaging in my hobbies (museums, musicals, art) and has fun interests of their own; a gentle, understanding man who's emotionally available; I find spectacles really cute on a guy, don't find huge muscles or powerlifter bodies that attractive. ",Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(
11/17/2024 13:51:12,"Good sense of humour, smart, athletic, should be able to gossip with me, no smokers, and proximity to my location ",Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(
11/18/2024 11:12:47,Does not need context for the weirdness,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(
11/19/2024 13:27:58,"Funny,witty,smart and kind and long term",Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :)
11/19/2024 13:30:33,"Tall, handsome, drink sometimes, no smoking, funny, smart",Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/19/2024 19:07:48,"Smoking: never, drinking: occasionally/socially/never, cheerful, laid-back, optimistic, serious relationships only ",Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/20/2024 1:53:05,Needs to be creative and into films like i am Not much into taller guys BUT ATLEAST TALLER THAN ME (im 5’2 its not that hard) funny and i dont like going out much so maybe calm and a homebody like me,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(
11/20/2024 12:24:47,Male who respects women and fights for equality. Contributes to the relationship. Loyal and good humour sense. Smart and should earn well.,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(
11/21/2024 11:00:39,cute and rich,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :)
11/21/2024 14:47:10,"Humour, drive, having general knowledge, no smoking, has emotional intelligence. Taller than me. Cute nerd energy.",Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(
11/21/2024 14:55:07,"Tall, dark and handsome xD but also driven, kind, high EQ, curious, adventurous, cooks well ",Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
