Timestamp,"Describe your ideal match: be it physical traits or personality, put it all down there. You can add in hobbies, drinking/smoking preferences, what you're looking for in this particular individual and anything else that comes to mind!",Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?,Swipe Right?
11/17/2024 0:23:56,"Being fun, open to explore new places, sarcasm as a personality trait, adventurous",Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(
11/17/2024 0:27:01,"A curious, ambitious, passionate person who likes to explore new things :)",Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(
11/17/2024 1:09:16,"Smart, cute, good sense of humor, non drinker/smoker",Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :)
11/17/2024 1:44:30,"Smart/intelligent, good sense of humor, outgoing, decently good looks, caring, doesn't smoke, not obese/unhealthy, shared interests",Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(
11/17/2024 5:19:20,"Vegetarian, Drinker, who is looking for casual stuff",Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Like :)
11/17/2024 5:52:33,"Fit, ambitious and funny. I don't like smoking and drinking. I find the 'accept me as I am', 'This is who I am', 'It is what it is' etc. mentality. If you are not willing to grow and improve with me then I'm not interested. ",Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/17/2024 12:44:35,"Smart, speaks english, smiles",Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :)
11/17/2024 12:47:38,"Someone with short hair, spectacles probably, tall and petite figure. Someone who is a chill person to talk and hang around with. Bonus points if she likes rock n roll music and gaming ",Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/17/2024 13:57:27,"Should not take themselves very seriously, sense of humour, if she's into sports its a big plus, non smoker, smart, similar sense of humour, preferably not too introverted",Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :)
11/17/2024 16:42:15,"Short, cute, sort of retro tastes, into sports, gotta have some hobbies in common but also a couple different ones, similar family economic status, definitely non smoker, preferably no drinking either, cute, relatable sense of humour, mix between traditional and modern. Not on social dating apps. This last point is pretty much gonna make me dislike most of the AI generated women down there to begin with cuz of the online dating format. But I'll try and assume I'm meeting these people in real life and choose based on that",Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/17/2024 17:54:24,James Bond,Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :),Like :)
11/18/2024 2:19:36,thicc,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Like :),Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/18/2024 12:23:09,"thin, really fair, small waist, pretty face, asian features, clear skin, no drinking or smoking, no clubbing or partying, dresses modestly",Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/19/2024 13:44:21,"Someone who loves a physical activity and is as crazy as me, willing to explore new places and travel around the world. Occasional drinker and rarely smokes ",Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(
11/19/2024 13:48:04,"Someone chill and kind of nerdy, ",Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Like :)
11/19/2024 14:38:53,Non smoker; non ugly. ,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(
11/19/2024 16:48:44,"Smart, Cute. Hobbies: Music, Coding. Doesnt drink or smoke ",Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(
11/20/2024 0:44:30,"Great personality,  healthy body, matches my music taste, sporty, doesnt smoke, drinks occasionally",Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Like :),Like :),Like :),Like :),Dislike :(,Dislike :(,Like :),Like :),Dislike :(,Dislike :(
11/20/2024 3:52:46,"Cute, smart , fun ",Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Dislike :(,Like :),Like :),Like :),Dislike :(,Like :),Like :),Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Like :),Dislike :(,Dislike :(,Dislike :(,Dislike :(
